Energy Load,Max Demand,Stored Energy,Genereted Energy,Power exchange,Data,Influent Flow,Water Flow,Total Volume,Hydroelectric Gen.,Hydroelectric Gen. SE/CO,TmedGeneral,relative humidityGeneral,VelwindmedGeneral,WeekDay,Month
1286.814624,64574.54,164565.579,1301.96022897,125.66024999999999,2008-05-21,809.5847328244274,843.1442016806719,75.69203389830508,1192.97263,776.02222,19.517777777777777,56.77777777777778,0.8740741111111111,2,5
1286.34411,61839.0,164511.522,1159.18601895,134.03148,2008-05-22,730.4689312977098,756.8223529411766,75.55474576271186,1046.57462,685.9098,19.613333333333333,57.80555555555556,0.8777777777777778,3,5
1145.201021,62928.55,164399.7555,1236.96934901,119.71706,2008-05-23,759.9399236641223,784.9069747899159,75.11830508474574,1118.34928,737.71281,19.362222222222222,62.083333333333336,0.6555555555555554,4,5
1226.566605,62276.65,164142.6195,1149.54625903,129.22155,2008-05-24,749.333740458015,773.5165546218485,77.65421052631575,1033.06132,686.99344,18.962222222222223,56.47222222222222,1.3925925555555554,5,5
1147.75152,58227.35,164360.30849999998,1047.59202909,133.46868,2008-05-25,696.9190076335877,718.82756302521,78.08473684210526,936.25151,626.60061,18.3,62.583333333333336,1.0962963333333335,6,5
1045.84773,63812.55,164019.89549999998,1254.78013916,118.49073,2008-05-26,740.467251908397,771.9152100840337,77.72105263157896,1134.87112,743.95505,18.6,64.16666666666667,0.9555554444444445,0,5
1242.115614,64966.83,163694.823,1300.36691899,74.38361,2008-05-27,765.4178625954199,795.3966386554624,77.5043859649123,1181.14421,736.79371,19.077777777777776,61.083333333333336,1.260329,1,5
1278.691006,65316.32,163528.269,1316.60059896,78.70244000000001,2008-05-28,775.0196946564887,803.0136134453785,77.48491228070176,1194.65211,731.80013,19.337777777777777,60.47222222222222,1.3555556666666666,2,5
1289.899011,64982.84,163255.7925,1316.24770896,79.33841000000001,2008-05-29,783.2141221374045,811.2331092436979,77.54578947368421,1200.48424,727.90428,18.646666666666665,66.02777777777777,1.4444444444444442,3,5
1285.426895,63554.69,163163.7495,1302.13822899,77.2427,2008-05-30,784.7185496183205,811.6740336134451,74.7784745762712,1181.58887,712.39793,16.55333333333333,69.38888888888889,1.5296296666666669,4,5
1270.433336,61634.14,163109.6925,1188.57711895,106.24732000000002,2008-05-31,722.7286259541992,746.9163025210086,75.12084745762715,1070.31086,654.26561,16.126666666666665,65.69444444444444,1.5407405555555558,5,5
1156.985904,56523.8,163152.79200000002,1042.955329,136.73692,2008-06-01,711.4960769230765,742.0947457627116,51.58327586206895,926.80111,595.17515,16.44,69.13888888888889,1.3820562222222224,6,6
1021.889188,62596.95,162914.64899999998,1238.68933899,120.71126999999998,2008-06-02,921.8833846153848,926.777033898305,62.462068965517254,1122.09732,709.74139,17.02888888888889,67.38888888888889,1.1646072222222221,0,6
1208.370584,63393.86,162626.1015,1276.11663898,117.20302,2008-06-03,947.0080000000003,968.8960169491527,64.59456140350876,1156.662,722.66209,17.61555555555556,65.16666666666667,1.0962962222222223,1,6
1246.344406,63940.85,162561.087,1285.44889898,118.80265000000001,2008-06-04,1076.263307692308,1082.3243220338984,70.08758620689655,1160.92294,729.8802,17.74,67.25,0.9725097777777777,2,6
1256.023755,64466.82,162458.81699999998,1293.12616893,76.02426,2008-06-05,946.3610687022897,971.5356302521008,78.35982758620686,1177.26633,770.61263,18.24222222222222,63.361111111111114,0.9539911111111111,3,6
1261.745991,63864.39,162325.86599999998,1296.97609886,29.10286,2008-06-06,777.0151145038166,809.5878991596638,75.24830508474577,1182.56606,783.57601,18.553333333333335,61.47222222222222,1.2259257777777777,4,6
1271.437921,63145.14,162154.929,1195.08743899,-49.6929,2008-06-07,569.2532307692308,587.0622033898305,77.86842105263158,1090.15872,720.69227,17.926666666666666,65.11111111111111,0.9915629999999999,5,6
1176.106586,59062.23,162247.7025,1066.87747899,-24.605259999999998,2008-06-08,674.3842748091607,710.3499159663866,65.49440677966102,951.30007,669.48139,18.44,65.36111111111111,1.2010696666666667,6,6
1054.549719,63953.94,161891.21850000002,1272.74392899,4.820240000000002,2008-06-09,652.5341221374046,685.6,60.94355932203389,1149.61037,764.19368,18.58,62.75,1.755555666666667,0,6
1247.566586,64489.31,161546.4225,1304.65379898,-27.239440000000002,2008-06-10,715.542846153846,735.095593220339,59.8055172413793,1179.33758,779.01771,16.946666666666665,59.888888888888886,1.8222622222222222,1,6
1273.231777,64788.18,161342.613,1301.33381905,-39.67991,2008-06-11,871.0274045801526,883.6771666666664,58.804406779661,1179.68613,771.55284,16.54222222222222,61.52777777777778,1.1587643333333333,2,6
1274.149976,64735.69,160926.9585,1307.44301903,-51.993809999999996,2008-06-12,680.1706870229009,680.2274166666667,56.616724137931044,1190.93661,783.12823,16.96888888888889,65.47222222222223,1.282551,3,6
1283.274705,63775.46,160703.4255,1300.77693897,-39.873619999999995,2008-06-13,762.0126717557253,788.2050420168067,74.3206779661017,1178.93721,777.21201,17.10222222222222,64.08333333333333,0.888929,4,6
1273.173339,63370.56,160620.87900000002,1208.10914899,-56.761520010000005,2008-06-14,743.6185384615386,768.761694915254,77.0522807017544,1086.92072,722.35456,18.037777777777777,62.5,1.4619333333333335,5,6
1184.652659,58086.58,160716.5745,1074.01386906,-28.200540000000004,2008-06-15,702.4986153846153,728.0962711864407,77.2,953.92291,653.15108,16.86,57.583333333333336,1.5286,6,6
1056.358749,62420.72,160413.417,1243.62431907,-28.475350000000002,2008-06-16,729.0101538461539,762.5340677966101,77.25122807017543,1129.11458,750.14054,14.577777777777776,63.833333333333336,1.3942370000000002,0,6
1226.365277,63781.87,160072.2735,1273.84205901,-59.104350000000004,2008-06-17,746.6513076923079,779.9145762711865,76.88473684210527,1152.19603,748.93185,15.282222222222222,63.97222222222222,0.9709452222222222,1,6
1247.551754,64584.11,159796.875,1286.46898915,-57.73515,2008-06-18,733.7303846153841,765.7716949152542,77.07508771929825,1168.21785,778.84649,16.14,63.0,0.9370370000000001,2,6
